author_id,degree,pagerank,betweenness,closeness
67,33,5.79569221046504e-05,3.221267673456808e-06,0.05845228351230178
68,46,7.654437878203574e-05,6.84294163436595e-05,0.0631302418304243
69,33,5.79569221046504e-05,3.221267673456808e-06,0.05845228351230178
70,30,5.41737319848553e-05,2.437736522869945e-06,0.057875754565930956
71,33,5.7147507592684675e-05,6.117774507653604e-06,0.06026123020159458
72,27,4.6525891673623e-05,1.756342557412449e-06,0.06004049689062399
73,35,6.407079138087648e-05,4.332655836296487e-05,0.06048673609587126
74,27,4.6525891673623006e-05,1.756342557412449e-06,0.06004049689062399
75,27,4.6525891673623006e-05,1.756342557412449e-06,0.06004049689062399
76,53,7.27550810021055e-05,2.96851835599636e-05,0.06362609833961666
77,46,6.969738787056937e-05,2.137895574247657e-05,0.0629878744734667
78,33,5.8205032563392625e-05,3.124880220923568e-05,0.06048149697172479
79,46,6.969738787056937e-05,2.137895574247657e-05,0.0629878744734667
80,46,6.969738787056937e-05,2.137895574247657e-05,0.0629878744734667
81,39,6.121058975348734e-05,5.018222161512447e-05,0.06233226619634695
82,26,4.41932604582834e-05,7.431012203708803e-07,0.059133411710134906
83,29,4.6883071270396247e-05,1.2396591684310268e-06,0.05883347478539651
84,56,9.229798112178187e-05,6.457916666507742e-05,0.063403096178945
85,29,4.6883071270396247e-05,1.2396591684310268e-06,0.05883347478539651
86,37,6.396115516772999e-05,6.349466820042445e-05,0.05957333539551898
87,22,3.558036332741361e-05,1.082620952454699e-06,0.05976709966772434
88,25,5.5474328007525205e-05,1.4879334418271367e-05,0.059770169212158
89,69,0.00012447344074378964,0.00013337496096262698,0.06430935520703233
90,41,6.642239003765697e-05,6.344610629213521e-05,0.06521752333451236
91,51,8.328060520261303e-05,4.320941912994315e-05,0.06149999813615969
92,53,7.236581010530352e-05,7.703021278237989e-05,0.0649917143371144
93,31,5.4619256932152535e-05,4.756978441852226e-06,0.05921163581490037
94,43,7.390353983297944e-05,1.9075484478373275e-05,0.0605790934740476
95,43,7.390353983297944e-05,1.9075484478373275e-05,0.0605790934740476
96,53,7.378321665608365e-05,5.308325493043036e-05,0.062244475837296274
97,51,0.00010228432333778634,3.842343541283883e-05,0.061049413247124186
98,38,7.252497451788926e-05,1.1038924469348912e-05,0.05953980958389101
99,52,8.849048012325714e-05,0.0001481496155548702,0.06378185378230851
100,54,8.931749373028879e-05,9.576825173555922e-05,0.06303563822178102
101,44,8.190799674113315e-05,2.2868264473298888e-05,0.059921992520205705
102,29,4.6133943324011766e-05,5.265001798839508e-06,0.05851498163426047
103,39,5.7134743338511e-05,6.647657873034234e-05,0.06153902235325881
104,24,4.2721668482043056e-05,5.59907867489444e-07,0.058725608796840904
105,35,5.8949696622643794e-05,4.3210903028694954e-05,0.061995789725651416
106,24,4.2721668482043056e-05,5.59907867489444e-07,0.058725608796840904
107,21,3.69668947613574e-05,3.201223689292927e-07,0.057525784192146996
108,24,4.217274140913102e-05,1.5220881476055607e-06,0.058118537349387996
109,18,3.0048937757976595e-05,1.0142459496478234e-06,0.05760836390049971
110,20,3.194479920744363e-05,2.8742157324640168e-06,0.05589387317798709
111,18,3.5553395977468923e-05,1.7281961697873113e-07,0.055855422499716596
112,28,5.504532091558872e-05,2.806840678408131e-05,0.057194071394236705
113,18,3.555339597746892e-05,1.726467973617524e-07,0.055855422499716596
114,18,3.555339597746892e-05,1.726467973617524e-07,0.055855422499716596
115,24,4.9763445195531086e-05,1.9717377602684832e-05,0.05653924461449669
116,24,4.127180265261069e-05,6.448065846971793e-06,0.05751062288643647
117,22,3.161703648516218e-05,5.933890073164851e-06,0.05819021807346431
118,20,3.231011564719957e-05,8.090393973665872e-07,0.05590282278460603
119,22,4.4725172328426664e-05,7.600270079434903e-06,0.05719219759181249
120,23,3.453946574928844e-05,1.4307546594671906e-06,0.056152774288950484
121,21,3.6871899687164395e-05,5.1582453901297635e-06,0.056569475585563134
122,23,3.7496411966019364e-05,1.2378353531395853e-05,0.0567746141017934
123,21,3.0350506951102156e-05,1.5416640880330748e-05,0.05487394725642099
124,50,5.5911242891381996e-05,4.041305498892982e-06,0.06261621460937955
125,50,5.5911242891381996e-05,4.041305498892982e-06,0.06261621460937955
126,67,8.489147682313046e-05,5.711380810939555e-05,0.06451016969734087
127,48,5.414815882168516e-05,3.4604273546238434e-06,0.0626139686906346
128,49,5.547067876488407e-05,3.316549924838185e-06,0.06266116684356554
129,49,5.547067876488407e-05,3.316549924838185e-06,0.06266116684356554
130,49,5.547067876488407e-05,3.316549924838185e-06,0.06266116684356554
131,47,4.918961064891571e-05,1.6811100309116915e-06,0.06243146637679998
132,47,5.002291480240176e-05,2.1841954149342107e-06,0.06250187780504449
133,47,5.002291480240176e-05,2.1841954149342107e-06,0.06250187780504449
134,51,5.8023325240853526e-05,3.306541650561783e-05,0.06389040175291485
135,45,4.8250959464241354e-05,1.6068064432727154e-06,0.062403569282008034
136,43,4.1971162866086796e-05,0.0,0.062174642842714414
137,47,5.055673953475683e-05,2.8213873546760425e-07,0.062447099647459
138,72,0.00010309763395726814,0.00018395165732409429,0.06455668973391859
139,46,4.8607082602634447e-05,4.6593443965538714e-07,0.06256684158614002
140,50,5.721506020992732e-05,7.587856479736964e-07,0.06276593068206356
141,50,5.721506020992732e-05,7.587856479736964e-07,0.06276593068206356
142,87,0.00010209239641924236,0.0001463693888997031,0.06846867928674666
143,50,5.975767271273832e-05,2.295548647830194e-06,0.06277044451178125
144,57,7.423673160901161e-05,5.4287359783544696e-05,0.06341691601318315
145,49,5.7809735190915974e-05,2.4605774752834553e-06,0.06277383031014754
146,49,5.7809735190915974e-05,2.4605774752834553e-06,0.06277383031014754
147,49,5.7809735190915974e-05,2.4605774752834553e-06,0.06277383031014754
148,46,5.114847561236769e-05,1.991787886245175e-06,0.06256908412526498
149,46,5.114847561236769e-05,1.991787886245175e-06,0.06256908412526498
150,50,6.0012448782943554e-05,5.685016163900537e-06,0.06343189430042669
151,47,5.081319906543811e-05,3.693228277655361e-06,0.06315650755575668
152,55,6.545950016343316e-05,1.684957001774599e-05,0.06379817074810024
153,91,0.00011445921477748713,0.0002005886610099196,0.06797677019897948
154,52,6.021438352203791e-05,4.547834085367561e-06,0.06341921990463172
155,52,6.021438352203791e-05,4.547834085367561e-06,0.06341921990463172
156,51,5.8882084133063095e-05,1.2936963974572166e-05,0.06551982461369162
157,52,5.9424066217544366e-05,8.007922571611177e-06,0.06512385320530835
158,52,5.9424066217544366e-05,8.007922571611177e-06,0.06512385320530835
159,57,6.387098935961836e-05,3.749790136008228e-06,0.06458774038385721
160,113,0.0001491927193851063,0.0004031469419829977,0.07153096548156662
161,57,6.387098935961836e-05,3.749790136008228e-06,0.06458774038385721
162,65,8.407299285016743e-05,6.069076362150509e-05,0.06657808722711261
163,65,8.407299285016743e-05,6.069076362150509e-05,0.06657808722711261
164,73,9.364682559476977e-05,8.838942112294699e-05,0.06755979128816489
165,84,0.00010392778533911669,0.00011797340152428298,0.06699199658818378
166,59,6.470473485208078e-05,4.388741011875918e-06,0.06470264815029253
167,84,0.00011030806985024557,0.00021270651888096836,0.06669127417221801
168,29,3.849921833058725e-05,1.1500492863315435e-05,0.06396531629822626
169,29,3.849921833058725e-05,1.1500492863315435e-05,0.06396531629822626
170,27,3.6135388727339453e-05,7.264776719219478e-06,0.061383221881743125
